"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Ash","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Kilocalories","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Manganese","Data.Niacin","Data.Pantothenic Acid","Data.Protein","Data.Refuse Percentage","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Household Weights.1st Household Weight","Data.Household Weights.1st Household Weight Description","Data.Household Weights.2nd Household Weight","Data.Household Weights.2nd Household Weight Description","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - IU","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"BUTTER","BUTTER,WITH SALT","1001","0","2.11","158","0","0.06","215","19","0.0","717","0","0","0.0","0.042","0.11","0.85","0","671","0.034","1.0","0.059999999","0.005","15.87","21.021","3.043","51.368","81.11","227.0","1 cup","14","1 tbsp","24","0.0","0.02","2","24","24","576","0.09","2499","684","0.17","0.003","0.0","2.32","7.0"
"BUTTER","BUTTER,WHIPPED,WITH SALT","1002","0","2.11","158","0","0.06","219","19","0.0","717","0","0","0.004","0.042","0.11","0.85","0","671","0.034","1.0","0.059999999","0.005","15.87","23.426","3.012","50.489","81.11","151.0","1 cup","9","1 tbsp","24","0.016","0.16","2","23","26","827","0.05","2499","684","0.13","0.003","0.0","2.32","7.0"
"BUTTER OIL","BUTTER OIL,ANHYDROUS","1003","0","0.0","193","0","0.0","256","22","0.0","876","0","0","0.0","0.003","0.01","0.28","0","824","0.005","0.0","0.0","0.001","0.24","28.732","3.694","61.924","99.48","205.0","1 cup","13","1 tbsp","4","0.001","0.0","0","3","5","2","0.01","3069","840","0.01","0.001","0.0","2.8","8.6"
"CHEESE","CHEESE,BLUE","1004","0","5.11","74","0","2.34","75","15","0.0","353","0","0","0.009","1.016","1.729","21.4","0","192","0.382","14.5","0.5","0.029","42.41","7.778","0.8","18.669","28.74","28.35","1 oz","17","1 cubic inch","528","0.04","0.31","23","387","256","1395","2.66","763","198","1.22","0.166","0.0","0.25","2.4"
"CHEESE","CHEESE,BRICK","1005","0","3.18","76","0","2.79","94","15","0.0","371","0","0","0.012","0.118","0.288","23.24","0","286","0.351","14.5","0.50999999","0.014","41.11","8.598","0.784","18.764","29.68","132.0","1 cup, diced","113","1 cup, shredded","674","0.024","0.43","24","451","136","560","2.6","1080","292","1.26","0.065","0.0","0.26","2.5"
"CHEESE","CHEESE,BRIE","1006","0","2.7","9","0","0.45","100","15","0.0","334","0","0","0.034","0.38","0.69","20.75","0","173","0.52","14.5","0.449999988","0.07","48.42","8.013","0.826","17.41","27.68","240.0","1 cup, melted","144","1 cup, sliced","184","0.019","0.5","20","188","152","629","2.38","592","174","1.65","0.235","0.0","0.24","2.3"
"CHEESE","CHEESE,CAMEMBERT","1007","0","3.68","12","0","0.46","72","15","0.0","300","0","0","0.038","0.63","1.364","19.8","0","240","0.488","14.5","0.460000008","0.028","51.8","7.023","0.724","15.259","24.26","246.0","1 cup","28","1 oz","388","0.021","0.33","20","347","187","842","2.38","820","241","1.3","0.227","0.0","0.21","2.0"
"CHEESE","CHEESE,CARAWAY","1008","0","3.28","0","0","3.06","93","0","0.0","376","0","0","0.021","0.18","0.19","25.18","0","262","0.45","14.5","0.0","0.031","39.28","8.275","0.83","18.584","29.2","28.35","1 oz","0","","673","0.024","0.64","22","490","93","690","2.94","1054","271","0.27","0.074","0.0","0.0","0.0"
""CHEESE","CHEESE,PAST PROCESS,PIMENTO","1043","12","5.84","151","0","1.73","94","36","0.100000001","375","20","0","0.016","0.078","0.485","22.13","0","235","0.354","14.5","0.629999995","0.027","39.08","8.937","0.988","19.663","31.2","140.0","1 cup, diced","244","1 cup, melted","614","0.033","0.42","22","744","162","1428","2.98","1045","248","0.7","0.071","2.3","0.29","2.9"
"CHEESE","CHEESE,PAST PROCESS,SWISS,W/DI NA PO4","1044","0","5.85","63","0","2.1","85","36","0.0","334","0","0","0.014","0.038","0.26","24.73","0","192","0.276","15.9","1.230000019","0.014","42.31","7.046","0.622","16.045","25.01","140.0","1 cup, diced","113","1 cup, shredded","772","0.027","0.61","29","762","216","1370","3.61","746","198","1.23","0.036","0.0","0.34","2.2"
"CHEESE FD","CHEESE FD,COLD PK,AMERICAN","1045","0","4.44","0","0","8.32","64","0","0.0","331","0","0","0.01","0.074","0.977","19.66","0","148","0.446","16.2","0.0","0.03","43.12","7.165","0.719","15.355","24.46","28.35","1 oz","227","1 package,  (8 oz)","497","0.03","0.84","30","400","363","966","3.01","705","159","1.28","0.141","0.0","0.0","0.0"
"CHEESE FD","CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4","1046","0","5.38","65","0","7.83","80","36","0.0","330","0","0","0.073","0.17","0.974","18.4","0","196","0.517","16.1","7.429999828","0.068","43.21","7.214","1.108","14.895","25.18","113.0","1 cup","28","1 oz","570","0.085","0.57","31","439","291","1265","3.19","761","201","1.26","0.073","0.0","0.22","3.4"
"CHEESE FD","CHEESE FD,PAST PROCESS,SWISS","1047","0","5.77","0","0","4.5","82","0","0.0","323","0","0","0.01","0.104","0.5","21.92","0","233","0.4","16.1","0.0","0.014","43.67","6.801","0.6","15.487","24.14","28.35","1 oz","227","1 package,  (8 oz)","723","0.03","0.6","28","526","284","1552","3.55","856","237","2.3","0.035","0.0","0.0","0.0"
"CHEESE SPRD","CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4","1048","0","5.98","55","0","8.73","55","36","0.0","290","0","0","0.02","0.131","0.686","16.41","0","168","0.431","11.3","7.320000172","0.048","47.65","6.219","0.624","13.327","21.23","140.0","1 cup, diced","244","1 cup","562","0.033","0.33","29","712","242","1345","2.59","653","173","0.4","0.117","0.0","0.19","1.8"
"CREAM","CREAM,FLUID,HALF AND HALF","1049","0","0.67","22","0","4.3","37","19","0.0","130","0","0","0.001","0.078","0.289","2.96","0","95","0.149","1.8","0.159999996","0.035","80.57","3.321","0.427","7.158","11.5","242.0","1 cup","15","1 tbsp","105","0.01","0.07","10","95","130","41","0.51","354","97","0.33","0.039","0.9","0.33","1.3"
"CREAM","CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)","1050","0","0.58","37","0","3.66","66","17","0.0","195","0","0","0.001","0.057","0.276","2.7","0","178","0.148","0.6","0.140000001","0.032","73.75","5.577","0.717","12.02","19.31","240.0","1 cup","15","1 tbsp","96","0.008","0.04","9","80","122","40","0.27","656","181","0.22","0.032","0.8","0.55","1.7"
"CREAM","CREAM,FLUID,LT WHIPPING","1052","0","0.46","60","0","2.96","111","17","0.0","292","0","0","0.001","0.042","0.259","2.17","0","274","0.125","0.5","0.109999999","0.024","63.5","9.093","0.884","19.337","30.91","120.0","1 cup,  whipped","239","1 cup, fluid (yields 2 cups whipped)","69","0.007","0.03","7","61","97","34","0.25","1013","279","0.2","0.028","0.6","0.88","2.7"
"CREAM","CREAM,FLUID,HVY WHIPPING","1053","0","0.45","72","0","2.79","137","17","0.0","345","0","0","0.001","0.039","0.255","2.05","0","405","0.11","0.5","0.109999999","0.022","57.71","10.686","1.374","23.032","37.0","119.5","1 cup,  whipped","238","1 cup, fluid (yields 2 cups whipped)","65","0.006","0.03","7","62","75","38","0.23","1470","411","0.18","0.026","0.6","1.06","3.2"
"CREAM","CREAM,WHIPPED,CRM TOPPING,PRESSURIZED","1054","0","0.76","43","0","12.49","76","17","0.0","257","0","0","0.001","0.07","0.305","3.2","0","184","0.065","1.4","8.0","0.037","61.33","6.418","0.825","13.831","22.22","60.0","1 cup","3","1 tbsp","101","0.01","0.05","11","89","147","130","0.37","685","188","0.29","0.041","0.0","0.64","1.9"
"CREAM","CREAM,SOUR,RED FAT,CULTURED","1055","0","0.66","23","0","4.26","39","19","0.0","135","0","0","0.003","0.067","0.363","2.94","0","100","0.149","2.1","0.159999996","0.035","80.14","3.466","0.446","7.47","12.0","242.0","1 cup","15","1 tbsp","104","0.016","0.07","10","95","129","41","0.5","372","102","0.3","0.016","0.9","0.34","0.6"
"CREAM","CREAM,SOUR,CULTURED","1056","0","0.85","26","0","2.88","52","19","0.0","193","0","0","0.011","0.109","0.336","2.07","0","160","0.172","2.6","3.5","0.036","74.46","5.068","0.84","11.507","19.73","230.0","1 cup","12","1 tbsp","110","0.019","0.17","10","115","141","80","0.38","576","162","0.28","0.057","0.9","0.44","1.8"
"ALCOHOLIC BEV","ALCOHOLIC BEV,WINE,TABLE,WHITE,RIESLING","14132","0","0.17","0","0","3.74","0","0","0.0","80","0","0","0.0","0.0","0.0","0.07","0","0","0.0","0.0","0.0","0.0","86.56","0.0","0.0","0.0","0.0","29.58","1 fl oz","148","1 serving,  5 fl oz","0","0.0","0.0","0","0","0","0","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
"ALCOHOLIC BEV","ALCOHOLIC BEV,WINE,TABLE,WHITE,SAUVIGNON BLANC","14134","0","0.18","0","0","2.05","0","0","0.0","81","0","0","0.0","0.0","0.0","0.07","0","0","0.0","0.0","0.0","0.0","87.16","0.0","0.0","0.0","0.0","29.35","1 fl oz","147","1 serving,  5 fl oz","0","0.0","0.0","0","0","0","0","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
"ALCOHOLIC BEV","ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST","14135","0","0.27","0","0","13.39","0","0","0.0","112","0","0","0.0","0.0","0.0","0.07","0","0","0.0","0.0","0.0","0.0","77.76","0.0","0.0","0.0","0.0","30.77","1 fl oz","154","1 serving,  5 fl oz","0","0.0","0.0","0","0","0","0","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,GINGER ALE","14136","0","0.0","0","0","8.77","0","0","0.0","34","0","0","0.013","0.0","0.0","0.0","0","0","0.0","0.1","8.699999809","0.0","91.23","0.0","0.0","0.0","0.0","30.5","1 fl oz","488","1 can,  or bottle (16 fl oz)","3","0.018","0.18","1","0","1","7","0.05","0","0","0.0","0.0","0.0","0.0","0.0"
"TEA","TEA,RTD,NESTLE,COOL NESTEA ICE TEA LEMON FLAVOR","14137","0","0.12","0","0","9.09","0","0","0.0","36","0","0","0.131","0.0","0.0","0.0","0","0","0.0","0.0","9.090000153","0.0","91.18","0.0","0.0","0.0","0.0","30.63","1 fl oz","245","1 serving,  8 fl oz","3","0.008","0.0","1","36","19","21","0.06","0","0","0.0","0.0","0.0","0.0","0.0"
"ALCOHOLIC BEV","ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC","14138","0","0.24","0","0","1.94","0","0","0.0","81","0","0","0.0","0.0","0.0","0.07","0","0","0.0","0.0","0.0","0.0","87.14","0.0","0.0","0.0","0.0","29.31","1 fl oz","147","1 serving,  5 fl oz","0","0.0","0.0","0","0","0","0","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
"ALCOHOLIC BEV","ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT","14140","0","0.21","0","0","5.23","0","0","0.0","82","0","0","0.0","0.0","0.0","0.07","0","0","0.0","0.0","0.0","0.0","85.69","0.0","0.0","0.0","0.0","29.96","1 fl oz","150","1 serving,  5 fl oz","0","0.0","0.0","0","0","0","0","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,GRAPE SODA","14142","0","0.1","0","0","11.2","0","0","0.0","43","0","0","0.013","0.0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","88.8","0.0","0.0","0.0","0.0","31.0","1 fl oz","372","1 can,  or bottle (12 fl oz)","3","0.022","0.08","1","0","1","15","0.07","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,LO CAL,OTHER THAN COLA OR PEPPER,WO/ CAFFEINE","14143","0","0.1","0","0","0.0","0","0","0.0","0","0","0","0.017","0.0","0.0","0.1","0","0","0.0","0.0","0.0","0.0","99.8","0.0","0.0","0.0","0.0","29.6","1 fl oz","355","1 can,  (12 fl oz)","4","0.025","0.04","1","0","2","6","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
