id,category,description,kilocalories,protein,fat,carbohydrate
1,BUTTER,"BUTTER,WITH SALT",717,0.85,81.11,0.06
2,BUTTER,"BUTTER,WHIPPED,WITH SALT",717,0.85,81.11,0.06
3,BUTTER OIL,"BUTTER OIL,ANHYDROUS",876,0.28,99.48,0.0
4,CHEESE,"CHEESE,BLUE",353,21.4,28.74,2.34
5,CHEESE,"CHEESE,BRICK",371,23.24,29.68,2.79
6,CHEESE,"CHEESE,BRIE",334,20.75,27.68,0.45
7,CHEESE,"CHEESE,CAMEMBERT",300,19.8,24.26,0.46
8,CHEESE,"CHEESE,CARAWAY",376,25.18,29.2,3.06
9,"CHEESE""","CHEESE,PAST PROCESS,PIMENTO",375,22.13,31.2,1.73
10,CHEESE,"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",334,24.73,25.01,2.1
11,CHEESE FD,"CHEESE FD,COLD PK,AMERICAN",331,19.66,24.46,8.32
12,CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",330,18.4,25.18,7.83
13,CHEESE FD,"CHEESE FD,PAST PROCESS,SWISS",323,21.92,24.14,4.5
14,CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",290,16.41,21.23,8.73
15,CREAM,"CREAM,FLUID,HALF AND HALF",130,2.96,11.5,4.3
16,CREAM,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",195,2.7,19.31,3.66
17,CREAM,"CREAM,FLUID,LT WHIPPING",292,2.17,30.91,2.96
18,CREAM,"CREAM,FLUID,HVY WHIPPING",345,2.05,37.0,2.79
19,CREAM,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257,3.2,22.22,12.49
20,CREAM,"CREAM,SOUR,RED FAT,CULTURED",135,2.94,12.0,4.26
21,CREAM,"CREAM,SOUR,CULTURED",193,2.07,19.73,2.88
22,ALCOHOLIC BEV,"ALCOHOLIC BEV,WINE,TABLE,WHITE,RIESLING",80,0.07,0.0,3.74
23,ALCOHOLIC BEV,"ALCOHOLIC BEV,WINE,TABLE,WHITE,SAUVIGNON BLANC",81,0.07,0.0,2.05
24,ALCOHOLIC BEV,"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST",112,0.07,0.0,13.39
25,CARBONATED BEV,"CARBONATED BEV,GINGER ALE",34,0.0,0.0,8.77
26,TEA,"TEA,RTD,NESTLE,COOL NESTEA ICE TEA LEMON FLAVOR",36,0.0,0.0,9.09
27,ALCOHOLIC BEV,"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC",81,0.07,0.0,1.94
28,ALCOHOLIC BEV,"ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT",82,0.07,0.0,5.23
29,CARBONATED BEV,"CARBONATED BEV,GRAPE SODA",43,0.0,0.0,11.2
30,CARBONATED BEV,"CARBONATED BEV,LO CAL,OTHER THAN COLA OR PEPPER,WO/ CAFFEINE",0,0.1,0.0,0.0
31,CARBONATED BEV,"CARBONATED BEV,LEMON-LIME SODA,CONTAINS CAFFEINE",41,0.09,0.0,10.42
32,CARBONATED BEV,"CARBONATED BEV,SPRITE,LEMON-LIME,WO/ CAFFEINE",40,0.05,0.02,10.14
33,CARBONATED BEV,"CARBONATED BEV,LO CAL,COLA OR PEPPR-TYPE,W/ ASPRT,WO/ CAFFEN",1,0.12,0.0,0.15
34,CARBONATED BEV,"CARBONATED BEV,COLA,WO/CAFFEINE",41,0.0,0.0,10.58
35,CARBONATED BEV,"CARBONATED BEV,COLA,W/HIGHER CAFFEINE",41,0.0,0.0,10.58
36,CARBONATED BEV,"CARBONATED BEV,RED SUGAR,COLA,CONTAINS CAFFEINE & SWEETENERS",20,0.0,0.0,5.16
37,CARBONATED BEV,"CARBONATED BEV,ORANGE",48,0.0,0.0,12.3
38,CARB BEV,"CARB BEV,LO CAL,OTHR THN COLA OR PEPPER,W/ ASPRT,CONTNS CAFF",0,0.1,0.0,0.0
39,ALCOHOLIC BEV,"ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY",86,0.07,0.0,3.69
40,CARBONATED BEV,"CARBONATED BEV,PEPPER-TYPE,CONTAINS CAFFEINE",41,0.0,0.1,10.4
41,ENGY DRK,"ENGY DRK,RED BULL,W/ ADD CAFFEINE,NIACIN,PANTO,VIT B6 & B12",45,0.25,0.08,10.94
42,CARBONATED BEV,"CARBONATED BEV,TONIC H2O",34,0.0,0.0,8.8
43,ENG DRK,"ENG DRK,RED BULL,SGR FR,W/ADD CAFF,NIACIN,PANTO,VIT B6 & B12",5,0.25,0.08,0.7
44,CARBONATED BEV,"CARBONATED BEV,ROOT BEER",41,0.0,0.0,10.6
45,ALCOHOLIC BEV,"ALCOHOLIC BEV,WINE,TABLE,RED,GAMAY",78,0.07,0.0,2.38
46,ALCOHOLIC BEV,"ALCOHOLIC BEV,WINE,TABLE,RED,MOUVEDRE",88,0.07,0.0,2.64
47,CARBONATED BEV,"CARBONATED BEV,LO CAL,COLA OR PEPR,W/ NA SACC,CONTAINS CAFFN",0,0.0,0.0,0.1
48,CAROB-FLAVOR BEV MIX,"CAROB-FLAVOR BEV MIX,PDR",372,1.8,0.2,93.3
49,CAROB-FLAVOR BEV MIX,"CAROB-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK",75,3.16,3.11,8.68
50,CHOCOLATE-FLAVOR BEV MIX FOR MILK,"CHOCOLATE-FLAVOR BEV MIX FOR MILK,PDR,WO/ ADDED NUTR",405,3.3,3.1,90.9
51,CHOCOLATE-FLAVOR BEV MIX,"CHOCOLATE-FLAVOR BEV MIX,PDR,PREP W/ WHL MILK",85,3.23,3.24,11.91
52,No Category,CHOCOLATE SYRUP,279,2.1,1.13,65.1
53,CHOCOLATE SYRUP,"CHOCOLATE SYRUP,PREP W/ WHL MILK",90,3.07,2.96,12.78
54,CLAM&TOMATO JUC,"CLAM&TOMATO JUC,CND",48,0.6,0.2,10.95
55,COCOA MIX,"COCOA MIX,PDR",398,6.67,4.0,83.73
56,COCOA MIX,"COCOA MIX,PDR,PREP W/ H2O",55,0.92,0.55,11.54
57,COCOA MIX,"COCOA MIX,NESTLE,HOT COCOA MIX RICH CHOC W/ MARSHMALLOWS",400,2.8,15.0,75.0
58,COCOA MIX,"COCOA MIX,NO SUGAR ADDED,PDR",377,15.49,3.0,71.93
59,COCOA MIX,"COCOA MIX,NESTLE,RICH CHOC HOT COCOA MIX",400,3.0,15.0,75.0
60,COFFEE,"COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O,DECAFFEINATED",0,0.1,0.0,0.0
61,COFFEE,"COFFEE,BREWED,ESPRESSO,REST-PREP,DECAFFEINATED",0,0.1,0.18,0.0
62,COFFEE,"COFFEE,INST,REG,PDR,HALF THE CAFFEINE",350,14.42,0.5,70.6
63,COFFEE&COCOA (MOCHA) PDR,"COFFEE&COCOA (MOCHA) PDR,W/WHTNR&LO CAL SWTNR,DECAFFEINATED",257,9.0,13.21,71.4
64,COFFEE,"COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O",1,0.12,0.02,0.0
65,COFFEE,"COFFEE,BREWED,ESPRESSO,REST-PREP",2,0.12,0.18,0.0
66,COFFEE,"COFFEE,INST,REG,PDR",241,12.2,0.5,41.1
67,COFFEE,"COFFEE,INST,REG,PREP W/H2O",2,0.1,0.0,0.34
68,COFFEE,"COFFEE,INST,DECAFFEINATED,PDR",224,11.6,0.2,42.6
69,COFFEE,"COFFEE,INST,DECAFFEINATED,PDR,PREP W/H2O",2,0.12,0.0,0.43
70,COFFEE,"COFFEE,INST,W/CHICORY,PDR",351,9.3,0.2,74.2
71,COFFEE,"COFFEE,INST,W/ CHICORY,PREP W/ H2O",3,0.09,0.0,0.75
72,COFFEE,"COFFEE,INST,W/SUGAR,MOCHA-FLAVOR,PDR",460,5.29,15.87,74.04
73,COFFEE,"COFFEE,INST,W/SUGAR,CAPPUCCINO-FLAVOR PDR",406,3.1,5.56,85.94
74,COFFEE,"COFFEE,INST,W/SUGAR,FRENCH-FLAVOR,PDR",484,4.5,22.63,65.67
75,COFFEE SUB,"COFFEE SUB,CRL GRAIN BEV,PDR",360,6.01,2.52,78.42
76,COFFEE SUB,"COFFEE SUB,CRL GRAIN BEV,PREP W/ H2O",6,0.1,0.04,1.3
77,CRANBERRY-APPLE JUC DRK,"CRANBERRY-APPLE JUC DRK,BTLD",63,0.0,0.11,15.85
78,CRANBERRY-APRICOT JUC DRK,"CRANBERRY-APRICOT JUC DRK,BTLD",64,0.2,0.0,16.2
79,CRANBERRY-GRAPE JUC DRK,"CRANBERRY-GRAPE JUC DRK,BTLD",56,0.2,0.1,14.0
80,CRANBERRY JUC COCKTAIL,"CRANBERRY JUC COCKTAIL,BTLD",54,0.0,0.1,13.52
81,CRANBERRY JUC COCKTAIL,"CRANBERRY JUC COCKTAIL,BTLD,LO CAL,W/CA,SACCHARIN&CORN SWTNR",19,0.02,0.01,4.6
82,EGGNOG-FLAVOR MIX,"EGGNOG-FLAVOR MIX,PDR,PREP W/ WHL MILK",95,2.93,3.02,14.2
